timestamp,frame_id,total_ms,fm_prep_ms,fm_2d_match_ms,fm_corres_ms,fm_ransac_ms,bundle_adjust_ms,others_ms,nerf_ms,nerf_n_frames,nerf_ms_per_frame
1765857850.1321552,1668813027898397124,57.6,3.1,36.3,0.4,1.5,6.5,9.8,n/a,n/a,n/a
1765857850.1969562,1668813027930521833,61.9,3.1,38.1,0.4,1.4,8.0,11.0,n/a,n/a,n/a
1765857850.2661543,1668813027967743447,60.2,3.0,36.2,0.4,1.5,8.1,11.1,n/a,n/a,n/a
1765857850.3335845,1668813027996107805,62.0,3.1,40.5,0.4,1.4,5.8,10.8,n/a,n/a,n/a
1765857850.4026868,1668813028037048304,60.8,3.1,39.8,0.4,1.5,6.0,10.1,n/a,n/a,n/a
1765857850.4707046,1668813028070088901,53.4,3.2,33.8,0.4,1.4,5.4,9.3,n/a,n/a,n/a
1765857850.5313513,1668813028105117130,58.8,3.1,37.6,0.4,1.5,6.5,9.7,n/a,n/a,n/a
1765857850.5972004,1668813028131446847,59.8,3.1,38.5,0.4,1.5,6.2,10.2,n/a,n/a,n/a
1765857850.6641421,1668813028167110952,56.3,3.1,34.9,0.4,2.5,5.8,9.6,n/a,n/a,n/a
1765857850.7278764,1668813028197906493,62.7,3.2,41.1,0.4,2.2,5.9,9.9,n/a,n/a,n/a
1765857850.797899,1668813028234864619,55.6,3.1,33.9,0.4,2.0,5.8,10.4,n/a,n/a,n/a
1765857850.8606343,1668813028266074031,55.1,3.1,33.8,0.4,1.4,6.9,9.5,n/a,n/a,n/a
1765857850.9877048,1668813028338310452,57.7,3.2,34.4,0.4,1.4,8.9,9.6,n/a,n/a,n/a
1765857851.0525393,1668813028368029984,75.2,4.1,46.8,0.5,1.6,8.6,13.6,n/a,n/a,n/a
1765857851.13497,1668813028402777286,75.2,4.1,48.4,0.5,1.6,8.8,11.8,n/a,n/a,n/a
1765857851.2173202,1668813028436692512,66.7,4.2,41.6,0.6,1.8,9.1,9.4,n/a,n/a,n/a
1765857851.2912025,1668813028470606334,66.8,4.2,41.5,0.5,1.8,9.1,9.7,n/a,n/a,n/a
1765857851.3652427,1668813028507764057,67.6,4.2,42.0,0.5,1.7,8.7,10.4,n/a,n/a,n/a
1765857851.4400249,1668813028535412549,65.8,4.2,40.1,0.4,2.0,8.4,10.8,n/a,n/a,n/a
1765857851.5129626,1668813028571340409,64.6,4.2,40.4,0.4,1.6,8.0,10.1,n/a,n/a,n/a
1765857851.6570163,1668813028640607722,65.1,4.2,39.5,0.3,2.0,9.9,9.2,n/a,n/a,n/a
1765857851.7293398,1668813028667811894,77.6,5.3,49.1,0.5,2.3,9.2,11.1,n/a,n/a,n/a
1765857851.814156,1668813028705557007,76.1,5.5,46.7,0.4,1.9,9.1,12.5,n/a,n/a,n/a
1765857851.9873984,1668813028774723248,81.2,5.5,47.0,0.7,2.3,11.7,14.1,n/a,n/a,n/a
1765857852.0760965,1668813028803228184,133.5,6.6,92.8,0.6,3.8,11.9,17.7,n/a,n/a,n/a
1765857852.2173386,1668813028831560146,94.4,6.5,58.3,0.7,2.7,11.8,14.3,n/a,n/a,n/a
1765857852.4171197,1668813028902694074,88.7,6.7,54.1,0.5,2.1,14.7,10.6,n/a,n/a,n/a
1765857852.5129027,1668813028931759516,101.0,7.4,64.4,0.6,2.3,13.1,13.1,n/a,n/a,n/a
1765857852.7283554,1668813028999990498,105.3,8.4,64.6,0.6,2.6,15.8,13.3,n/a,n/a,n/a
1765857852.8418825,1668813029028726353,120.7,9.5,74.4,0.7,3.1,16.5,16.4,n/a,n/a,n/a
1765857853.0990417,1668813029097767458,119.8,8.9,71.4,0.5,3.7,22.0,13.3,n/a,n/a,n/a
1765857853.2265425,1668813029137960272,151.4,10.7,82.8,0.6,15.4,26.5,15.3,n/a,n/a,n/a
1765857853.3850603,1668813029165943298,147.1,10.1,80.9,0.8,17.5,25.8,12.0,n/a,n/a,n/a
1765857853.5396426,1668813029205412484,149.6,10.2,87.4,0.6,19.8,19.3,12.3,n/a,n/a,n/a
1765857853.697209,1668813029232307696,153.5,10.2,82.3,0.6,18.0,28.0,14.4,n/a,n/a,n/a
1765857853.857884,1668813029265760125,144.2,10.2,80.2,0.6,20.4,21.4,11.3,n/a,n/a,n/a
1765857854.0093281,1668813029299193413,148.2,10.0,79.7,0.6,16.6,29.4,11.8,n/a,n/a,n/a
